release_year,row_count,mean_target,median_target,std_target,zero_count,row_ratio,cumulative_count,cumulative_ratio,tempo_null_count,time_signature_null_count,release_month_null_count
1900,1,19.0,19.0,,0,0.0002,1,0.0002,0,0,0
1922,294,0.05442176870748299,0.0,0.4857324496369458,289,0.0501,295,0.0503,0,0,156
1923,657,1.5753424657534247,0.0,4.8275948014502665,554,0.112,952,0.1623,0,0,254
1924,633,0.6129541864139021,0.0,2.4404858458997545,563,0.1079,1585,0.2702,3,3,487
1925,903,1.4141749723145072,0.0,3.8290954279570752,626,0.1539,2488,0.4241,12,12,585
1926,1421,1.9387755102040816,1.0,4.236301325697225,657,0.2422,3909,0.6663,0,0,1048
1927,1200,0.655,0.0,3.1476284147271354,1077,0.2045,5109,0.8708,0,0,401
1928,1376,1.471656976744186,0.0,4.707201030691209,1095,0.2345,6485,1.1054,0,0,931
1929,1126,0.3428063943161634,0.0,2.529413938584537,1053,0.1919,7611,1.2973,0,0,690
1930,1606,1.2285180572851806,0.0,3.5673435645832368,1146,0.2737,9217,1.5711,0,0,685
1931,1016,0.9202755905511811,0.0,3.78127905000732,862,0.1732,10233,1.7442,1,1,577
1932,1095,1.095890410958904,0.0,3.464752195455462,819,0.1866,11328,1.9309,0,0,565
1933,1126,4.396092362344582,0.0,8.38757508627529,756,0.1919,12454,2.1228,0,0,812
1934,955,0.7947643979057591,0.0,2.826902398721396,754,0.1628,13409,2.2856,1,1,539
1935,1407,1.756218905472637,0.0,5.028183943812558,1054,0.2398,14816,2.5254,1,1,964
1936,1643,3.6889835666463786,0.0,6.958379424544889,1014,0.2801,16459,2.8055,1,1,806
1937,1288,1.9650621118012421,0.0,5.8792186523339245,983,0.2195,17747,3.025,1,1,761
1938,1233,1.218978102189781,0.0,3.8156457548239233,994,0.2102,18980,3.2352,3,3,720
1939,1668,3.055755395683453,0.0,7.4635613415675115,1162,0.2843,20648,3.5195,2,2,733
1940,1848,1.3014069264069263,0.0,3.3552612720276587,1320,0.315,22496,3.8345,1,1,633
1941,1596,0.8515037593984962,0.0,3.243880797374049,1333,0.272,24092,4.1066,4,4,884
1942,1743,1.2696500286861732,0.0,4.2850007057779465,1344,0.2971,25835,4.4037,0,1,721
1943,1203,0.9102244389027432,0.0,3.465098654443508,1010,0.2051,27038,4.6087,0,0,342
1944,1394,1.809899569583931,0.0,5.557544905258948,1114,0.2376,28432,4.8463,3,3,432
1945,1737,2.35636154289004,0.0,6.035055627864867,1162,0.2961,30169,5.1424,1,1,1004
1946,2149,1.4923220102373196,0.0,4.016558100240957,1581,0.3663,32318,5.5087,4,4,1233
1947,1989,1.4067370537958774,0.0,4.40218699783677,1469,0.339,34307,5.8477,3,3,1040
1948,2180,1.7711009174311927,0.0,5.784360366922844,1672,0.3716,36487,6.2193,4,4,1133
1949,2203,3.893781207444394,0.0,6.778617634902393,1113,0.3755,38690,6.5948,8,8,1318
1950,3071,3.349071963529795,1.0,6.540771524461806,1291,0.5235,41761,7.1183,2,2,1654
1951,2603,3.6895889358432576,1.0,6.0947296400374,971,0.4437,44364,7.562,2,2,1185
1952,2597,3.849826723142087,1.0,7.003285395148183,1169,0.4427,46961,8.0046,2,2,1116
1953,2919,3.7584789311408016,1.0,6.848170501736563,1120,0.4976,49880,8.5022,2,2,1311
1954,3576,5.827740492170022,2.0,8.483070564005445,873,0.6095,53456,9.1117,1,1,1581
1955,4063,6.743785380260891,4.0,8.366251290456155,479,0.6926,57519,9.8043,3,4,1663
1956,3882,10.607161257083977,7.0,10.64505358912024,201,0.6617,61401,10.466,0,0,1651
1957,3790,13.782321899736148,11.0,11.410008149739118,71,0.646,65191,11.112,0,0,1494
1958,4346,12.59203865623562,10.0,11.471099268186974,140,0.7408,69537,11.8528,3,3,1671
1959,4523,13.164713685606898,10.0,11.507860209237915,113,0.771,74060,12.6237,3,3,1685
1960,5002,12.574170331867252,10.0,10.887060711835273,161,0.8526,79062,13.4764,8,8,1959
1961,4753,12.670523879654954,10.0,10.840266239217017,122,0.8102,83815,14.2865,3,4,1948
1962,5006,13.35097882540951,10.0,11.464023822312678,93,0.8533,88821,15.1398,1,1,2042
1963,4429,17.339580040641227,15.0,12.019981779251957,23,0.7549,93250,15.8947,2,2,1553
1964,4768,17.04068791946309,15.0,12.537488207805445,30,0.8127,98018,16.7075,4,4,1729
1965,5200,17.342884615384616,15.0,12.592978964562652,32,0.8864,103218,17.5938,1,1,1646
1966,2641,25.306702006815602,24.0,13.481434644209452,15,0.4502,105859,18.044,2,2,787
1967,4950,21.551919191919193,20.0,13.196236817678258,17,0.8437,110809,18.8877,0,1,1359
1968,5229,21.524956970740103,20.0,12.824323504884827,9,0.8913,116038,19.779,2,2,1379
1969,5292,23.02267573696145,22.0,13.145229800629275,8,0.902,121330,20.6811,2,2,1521
1970,5591,23.669647648005725,22.0,13.7203401961992,8,0.953,126921,21.6341,0,0,1597
1971,5453,23.357051164496607,22.0,13.769096133154509,7,0.9295,132374,22.5635,1,1,1703
1972,5998,23.68706235411804,22.0,13.36979101041889,11,1.0224,138372,23.5859,1,1,1875
1973,5713,25.69403115701033,24.0,13.382719940585048,7,0.9738,144085,24.5597,3,3,1769
1974,6341,22.329601009304525,21.0,12.589271970707976,10,1.0808,150426,25.6406,2,2,1877
1975,6624,23.471014492753625,22.0,13.229746284057827,11,1.1291,157050,26.7696,0,0,2332
1976,6133,24.537420511984347,23.0,13.804245201480565,3,1.0454,163183,27.815,0,1,2119
1977,6618,24.08280447265035,23.0,13.571725085624003,2,1.1281,169801,28.9431,1,1,2166
1978,6505,24.82259800153728,24.0,13.601816849271774,6,1.1088,176306,30.0519,3,3,2276
1979,6865,25.863510560815733,25.0,13.8298808568859,0,1.1702,183171,31.222,4,4,1936
1980,8311,25.031524485621464,24.0,13.466032234394737,1,1.4166,191482,32.6387,4,4,2529
1981,7651,25.265194092275518,26.0,13.057684593851977,1,1.3041,199133,33.9428,3,3,2489
1982,7545,25.207952286282307,25.0,13.33364732407187,2,1.2861,206678,35.2289,0,0,2370
1983,7134,26.302354920100925,26.0,13.233936830633564,0,1.216,213812,36.4449,2,2,2477
1984,7794,26.71401077752117,26.0,13.113739717782352,2,1.3285,221606,37.7734,2,2,2284
1985,7893,25.492715063980743,25.0,13.144055597742122,0,1.3454,229499,39.1188,1,1,2405
1986,8924,24.671223666517257,24.0,13.147024921537295,0,1.5211,238423,40.6399,1,1,2195
1987,8387,26.862286872540835,27.0,13.147940714043672,1,1.4296,246810,42.0695,4,4,2054
1988,8932,25.59650694133453,24.0,13.166954642169094,2,1.5225,255742,43.592,0,0,2236
1989,9751,25.755512255153317,25.0,12.696032657998048,2,1.6621,265493,45.2541,1,1,2363
1990,10203,25.392531608350485,24.0,13.233538267681663,5,1.7391,275696,46.9932,3,3,2380
1991,9912,27.611481033091202,27.0,13.616601880873382,4,1.6895,285608,48.6827,1,1,2230
1992,10045,28.257441513190642,28.0,13.28525627430218,7,1.7122,295653,50.3949,1,1,2376
1993,7032,31.709755403868034,32.0,13.324770573972263,55,1.1986,302685,51.5936,1,1,1889
1994,10716,29.69904815229563,29.0,13.288410039244031,1,1.8266,313401,53.4201,5,5,2611
1995,11591,29.53205072901389,29.0,13.21592054771699,30,1.9757,324992,55.3959,1,2,2871
1996,12058,29.18560291922375,29.0,13.15440179285588,34,2.0553,337050,57.4512,3,3,2776
1997,12349,30.50255081383108,30.0,12.906346921918491,15,2.1049,349399,59.5561,1,1,2811
1998,12485,30.69995995194233,30.0,13.03739737728643,10,2.1281,361884,61.6842,4,4,2726
1999,12484,31.68431592438321,32.0,13.04370880026239,29,2.1279,374368,63.8121,1,1,2492
2000,7557,35.57536059282784,36.0,12.886688710298817,14,1.2881,381925,65.1003,0,0,1465
2001,7259,37.13899986223998,37.0,13.417264047861456,9,1.2373,389184,66.3376,0,0,1332
2002,8879,35.39903142245748,35.0,13.242182559026498,21,1.5135,398063,67.851,1,1,1575
2003,8210,36.20255785627284,36.0,13.641424314846281,94,1.3994,406273,69.2504,1,1,1379
2004,9251,35.68392606204735,36.0,14.001396840761256,34,1.5769,415524,70.8273,2,2,1542
2005,8857,36.81088404651688,37.0,14.552005571993677,100,1.5097,424381,72.337,1,1,1350
2006,8751,37.70757627699692,38.0,14.341718118603051,116,1.4916,433132,73.8286,3,3,1245
2007,8770,38.07787913340935,39.0,13.985027787947313,123,1.4949,441902,75.3235,0,0,1097
2008,9714,36.05569281449454,37.0,15.33918938530943,165,1.6558,451616,76.9793,4,5,1013
2009,9593,37.58532263108517,38.0,14.385720658497105,225,1.6352,461209,78.6145,4,4,852
2010,9597,37.36417630509534,39.0,16.36021224773448,569,1.6358,470806,80.2503,7,7,836
2011,9689,37.050985653834246,39.0,16.63104137664185,568,1.6515,480495,81.9018,1,1,730
2012,9744,37.05582922824302,40.0,18.21944091317663,573,1.6609,490239,83.5627,7,7,656
2013,10557,36.071705977076824,39.0,18.846507900386968,705,1.7995,500796,85.3622,7,8,676
2014,11252,36.800035549235695,40.0,18.66466586951878,536,1.9179,512048,87.2801,6,6,512
2015,10591,37.81899726182608,42.0,20.04296616535256,596,1.8053,522639,89.0854,22,23,354
2016,11083,39.28033925832356,43.0,19.77982485737,478,1.8891,533722,90.9745,23,23,162
2017,9889,42.23622206492062,47.0,20.568945808680976,546,1.6856,543611,92.6601,30,30,53
2018,10936,42.139539136795904,48.0,21.789450687219663,798,1.8641,554547,94.5242,19,19,43
2019,11907,44.92055093642395,50.0,20.910636818793176,554,2.0296,566454,96.5538,26,26,15
2020,13937,44.68694841070532,51.0,23.406207343071344,947,2.3756,580391,98.9294,13,13,0
2021,6281,35.19184843177838,42.0,28.44721288285546,1139,1.0706,586672,100.0,1,1,0
