rank,raw_feature_family,component_count,mean_abs_shap,mean_signed_shap,positive_rate,negative_rate,importance_share
1,release_year,2,12.18761634156239,12.186800572231377,0.9984,0.0016,0.5325901217753971
2,speechinessĂ—explicit,1,1.1901731815892733,0.7242571081354877,0.1732,0.8268,0.05200971723689683
3,acousticness,1,1.1718594692184636,0.860731186306258,0.8146,0.1854,0.05120942109789983
4,release_month,3,0.9569280068930115,0.0743118893902,0.6512,0.3488,0.04181706983862133
5,decade,1,0.9563124212406565,0.9563124212406565,1.0,0.0,0.041790169185666505
6,duration_min,3,0.9479571841439826,-0.6585423322136459,0.4856,0.5144,0.04142505129730595
7,loudness,1,0.5875666044827752,0.205831993828033,0.6086,0.3914,0.025676240592302856
8,speechiness,1,0.504923996035494,-0.09162520726997928,0.5056,0.4944,0.022064817680451373
9,tempo,1,0.48127292794004045,-0.1735195337363821,0.4186,0.5814,0.021031282911710775
10,danceability,1,0.4724103135725268,0.2657497697404799,0.5768,0.4232,0.02064399299931455
11,loudnessĂ—energy,1,0.4266549273096258,0.05485244514568151,0.6436,0.3564,0.018644515327988807
12,key,12,0.37206129048351494,0.1568724207897027,0.5472,0.4528,0.01625881242509838
13,liveness,1,0.32548405140459163,0.10552862362917276,0.6164,0.3836,0.014223420373216193
14,instrumentalness,1,0.2834900344762283,-0.14841707556688297,0.2688,0.7312,0.012388311852984583
15,valence,1,0.25923787038442836,0.08127677003805363,0.6232,0.3768,0.011328509618898766
16,mode,2,0.23225029498911012,-0.03711032822276174,0.5904,0.4096,0.010149171866265452
17,energy,1,0.21805556120562142,0.07661700118017618,0.482,0.518,0.009528872147071267
18,energyĂ—danceability,1,0.21104748398509088,0.0854936246108382,0.6948,0.3052,0.009222624182277255
19,energyĂ—valence,1,0.20712888075476849,-0.035368250236798675,0.56,0.44,0.009051384022336403
20,explicit,2,0.15892586749525217,0.08473162620630408,0.1866,0.8134,0.006944946800951422
21,tempoĂ—danceability,1,0.14978124994002748,0.06735009541526078,0.5694,0.4306,0.006545333550842976
22,acousticnessĂ—instrumentalness,1,0.1311216012545033,0.04572193044809342,0.7512,0.2488,0.0057299202421864735
23,release_precision,3,0.12761109666875445,0.05406635472512819,0.9208,0.0792,0.005576513701283053
24,danceabilityĂ—valence,1,0.11947937343112644,-0.010112069714085025,0.3442,0.6558,0.005221163208783309
25,time_signature,4,0.10383514796263332,0.056415795021596764,0.8296,0.1704,0.004537521739127528
26,energyĂ—liveness,1,0.10048435141039838,-0.030615412982588987,0.2526,0.7474,0.004391094325120943
