rank,selected_feature,raw_feature_family,component_count,mean_abs_shap,mean_signed_shap,median_abs_shap,shap_std,positive_rate,negative_rate,importance_share
1,release_year,release_year,1,12.293187842174296,12.293158237836176,12.668851880851687,2.053147063484369,0.9998,0.0002,0.5253413859262486
2,speechiness_explicit,speechinessĂ—explicit,1,1.1901731815892733,0.7242571081354877,0.3104760639038243,2.341682608061275,0.1732,0.8268,0.0508612767278576
3,acousticness,acousticness,1,1.1718594692184636,0.860731186306258,1.1685555926877584,1.0460357264410745,0.8146,0.1854,0.05007865214244866
4,decade,decade,1,0.9563124212406565,0.9563124212406565,0.9753457433984758,0.1555150796342166,1.0,0.0,0.04086738925679631
5,duration_min,duration_min,1,0.865678482426835,-0.6155012957052884,0.2687491795209219,1.8262969299003522,0.4732,0.5268,0.03699420683741937
6,loudness,loudness,1,0.5875666044827752,0.205831993828033,0.46442063584575033,0.7475452262360288,0.6086,0.3914,0.025109276640514266
7,release_month,release_month,1,0.5072333680282827,-0.09226946352414472,0.26000168008929603,0.8080173945442932,0.5638,0.4362,0.021676288036032013
8,speechiness,speechiness,1,0.504923996035494,-0.09162520726997928,0.4004905050266703,0.6632754589997253,0.5056,0.4944,0.02157759852612729
9,tempo,tempo,1,0.48127292794004045,-0.1735195337363821,0.44634715047515566,0.5428182099235508,0.4186,0.5814,0.020566885515684585
10,danceability,danceability,1,0.4724103135725268,0.2657497697404799,0.30768955690242783,0.6026074271719354,0.5768,0.4232,0.020188147455668413
11,loudness_energy,loudnessĂ—energy,1,0.4266549273096258,0.05485244514568151,0.3606126821376904,0.5401156935783556,0.6436,0.3564,0.01823282078682189
12,release_month_sin,release_month,1,0.37715119430911437,0.16770273345943307,0.33620335702223036,0.4111028855999446,0.618,0.382,0.016117310958379222
13,key,key,12,0.37206129048351494,0.1568724207897027,0.26329561791932155,0.48691309900388485,0.5472,0.4528,0.015899797229287877
14,liveness,liveness,1,0.32548405140459163,0.10552862362917276,0.22963238428791544,0.4753807154906645,0.6164,0.3836,0.013909349214949882
15,instrumentalness,instrumentalness,1,0.2834900344762283,-0.14841707556688297,0.19182715977815212,0.40072671468047205,0.2688,0.7312,0.012114762217908212
16,valence,valence,1,0.25923787038442836,0.08127677003805363,0.15750922342191787,0.385254386910265,0.6232,0.3768,0.01107836176106434
17,year_in_decade,release_year,1,0.25816171790536796,-0.10635766560479747,0.19463993430298798,0.32719211703528595,0.262,0.738,0.011032373084890532
18,mode,mode,2,0.23225029498911012,-0.03711032822276174,0.19842156269790154,0.2761382695976696,0.5904,0.4096,0.009925065281503023
19,energy,energy,1,0.21805556120562142,0.07661700118017618,0.131860943211435,0.3331292825201779,0.482,0.518,0.009318462566697912
20,release_month_cos,release_month,1,0.21211569193324312,-0.0011213805450883444,0.11051077327657681,0.3334446515459299,0.5016,0.4984,0.009064626117126502
21,energy_danceability,energyĂ—danceability,1,0.21104748398509088,0.0854936246108382,0.19480256231851864,0.2414294431171181,0.6948,0.3052,0.009018976945313272
22,energy_valence,energyĂ—valence,1,0.20712888075476849,-0.035368250236798675,0.13797042311527694,0.2890066376794571,0.56,0.44,0.008851517985250025
23,explicit,explicit,2,0.15892586749525217,0.08473162620630408,0.05470398029962854,0.2906170661908439,0.1866,0.8134,0.006791593568842772
24,tempo_danceability,tempoĂ—danceability,1,0.14978124994002748,0.06735009541526078,0.08119426343543079,0.2428377287400996,0.5694,0.4306,0.006400804286038032
25,acousticness_instrumentalness,acousticnessĂ—instrumentalness,1,0.1311216012545033,0.04572193044809342,0.08129290857128893,0.22942878502290617,0.7512,0.2488,0.005603396337245446
26,release_precision,release_precision,3,0.12761109666875445,0.05406635472512819,0.09327077471457437,0.17738477743384642,0.9208,0.0792,0.005453377207296841
27,danceability_valence,danceabilityĂ—valence,1,0.11947937343112644,-0.010112069714085025,0.07931346446173662,0.17254181463776794,0.3442,0.6558,0.005105873304284113
28,time_signature,time_signature,4,0.10383514796263332,0.056415795021596764,0.0998120657171043,0.1145433557766459,0.8296,0.1704,0.004437327505189964
29,energy_liveness,energyĂ—liveness,1,0.10048435141039838,-0.030615412982588987,0.073436460743845,0.16050952016496683,0.2526,0.7474,0.004294133394166224
30,duration_log,duration_min,1,0.08507092117198108,-0.04823085554929161,0.034822526583387796,0.15835965414516148,0.5104,0.4896,0.0036354504791010034
31,duration_squared,duration_min,1,0.010612369416434949,0.005189819040934174,0.00458804745775848,0.020653053730984416,0.6588,0.3412,0.0004535127038460024
