rank,transformed_feature,selected_feature,raw_feature_family,mean_abs_shap,importance_share,mean_signed_shap,median_abs_shap,shap_std,non_zero_rate,positive_rate,negative_rate,mapping_status
1,release_year,release_year,release_year,12.293187842174314,0.5189669941466156,12.293158237836176,12.668851880851687,2.053147063484369,1.0,0.9998,0.0002,MAPPED
2,speechiness_explicit,speechiness_explicit,speechiness×explicit,1.190173181589274,0.05024413573542639,0.7242571081354877,0.3104760639038243,2.341682608061275,1.0,0.1732,0.8268,MAPPED
3,acousticness,acousticness,acousticness,1.1718594692184625,0.04947100736687258,0.860731186306258,1.1685555926877584,1.0460357264410745,1.0,0.8146,0.1854,MAPPED
4,decade,decade,decade,0.9563124212406561,0.04037151218121752,0.9563124212406565,0.9753457433984758,0.1555150796342166,1.0,1.0,0.0,MAPPED
5,duration_min,duration_min,duration_min,0.8656784824268352,0.03654532621564477,-0.6155012957052884,0.2687491795209219,1.8262969299003522,1.0,0.4732,0.5268,MAPPED
6,loudness,loudness,loudness,0.5875666044827732,0.024804605485913178,0.205831993828033,0.46442063584575033,0.7475452262360288,1.0,0.6086,0.3914,MAPPED
7,release_month,release_month,release_month,0.5072333680282827,0.021413272107777596,-0.09226946352414472,0.26000168008929603,0.8080173945442932,1.0,0.5638,0.4362,MAPPED
8,speechiness,speechiness,speechiness,0.5049239960354924,0.02131578007748802,-0.09162520726997928,0.4004905050266703,0.6632754589997253,1.0,0.5056,0.4944,MAPPED
9,tempo,tempo,tempo,0.48127292794003995,0.02031733086517346,-0.1735195337363821,0.44634715047515566,0.5428182099235508,1.0,0.4186,0.5814,MAPPED
10,danceability,danceability,danceability,0.4724103135725274,0.019943188340253323,0.2657497697404799,0.30768955690242783,0.6026074271719354,1.0,0.5768,0.4232,MAPPED
11,loudness_energy,loudness_energy,loudness×energy,0.42665492730962723,0.0180115872307827,0.05485244514568151,0.3606126821376904,0.5401156935783556,1.0,0.6436,0.3564,MAPPED
12,release_month_sin,release_month_sin,release_month,0.3771511943091145,0.01592174659350104,0.16770273345943307,0.33620335702223036,0.4111028855999446,1.0,0.618,0.382,MAPPED
13,liveness,liveness,liveness,0.3254840514045919,0.01374057583506568,0.10552862362917276,0.22963238428791544,0.4753807154906645,1.0,0.6164,0.3836,MAPPED
14,instrumentalness,instrumentalness,instrumentalness,0.28349003447622834,0.011967764013002096,-0.14841707556688297,0.19182715977815212,0.40072671468047205,1.0,0.2688,0.7312,MAPPED
15,valence,valence,valence,0.2592378703844294,0.010943939040842128,0.08127677003805363,0.15750922342191787,0.385254386910265,1.0,0.6232,0.3768,MAPPED
16,year_in_decade,year_in_decade,release_year,0.25816171790536846,0.010898508382458654,-0.10635766560479747,0.19463993430298798,0.32719211703528595,1.0,0.262,0.738,MAPPED
17,energy,energy,energy,0.21805556120562183,0.00920539412629845,0.07661700118017618,0.131860943211435,0.3331292825201779,1.0,0.482,0.518,MAPPED
18,mode_0,mode,mode,0.2169759080482727,0.009159815683913622,-0.03318232726108422,0.18600025077716062,0.2574800145751884,1.0,0.5906,0.4094,MAPPED
19,release_month_cos,release_month_cos,release_month,0.21211569193324253,0.00895463767959916,-0.0011213805450883444,0.11051077327657681,0.3334446515459299,1.0,0.5016,0.4984,MAPPED
20,energy_danceability,energy_danceability,energy×danceability,0.21104748398509088,0.008909542406095412,0.0854936246108382,0.19480256231851864,0.2414294431171181,1.0,0.6948,0.3052,MAPPED
21,energy_valence,energy_valence,energy×valence,0.2071288807547682,0.008744115360986984,-0.035368250236798675,0.13797042311527694,0.2890066376794571,1.0,0.56,0.44,MAPPED
22,explicit_False,explicit,explicit,0.15888330891566102,0.006707389027697864,0.08452966750253299,0.05484508169997752,0.2903681491081919,1.0,0.1866,0.8134,MAPPED
23,tempo_danceability,tempo_danceability,tempo×danceability,0.1497812499400272,0.006323138152516051,0.06735009541526078,0.08119426343543079,0.2428377287400996,1.0,0.5694,0.4306,MAPPED
24,acousticness_instrumentalness,acousticness_instrumentalness,acousticness×instrumentalness,0.13112160125450306,0.005535405799079114,0.04572193044809342,0.08129290857128893,0.22942878502290617,1.0,0.7512,0.2488,MAPPED
25,key_1,key,key,0.12814134390612178,0.005409591793978934,0.06937365558117364,0.03211486293097375,0.30699791275361543,1.0,0.1526,0.8474,MAPPED
26,danceability_valence,danceability_valence,danceability×valence,0.11947937343112644,0.005043919615329463,-0.010112069714085025,0.07931346446173662,0.17254181463776794,1.0,0.3442,0.6558,MAPPED
27,key_8,key,key,0.11317517341591574,0.0047777826478970775,-0.016468402239946705,0.06437771509581443,0.2101189561550766,1.0,0.0738,0.9262,MAPPED
28,energy_liveness,energy_liveness,energy×liveness,0.10048435141039852,0.004242029201841534,-0.030615412982588987,0.073436460743845,0.16050952016496683,1.0,0.2526,0.7474,MAPPED
29,key_6,key,key,0.08634345326116809,0.00364505960361716,0.027933639241909128,0.03258436336732244,0.19722244542291842,1.0,0.1278,0.8722,MAPPED
30,duration_log,duration_log,duration_min,0.0850709211719813,0.003591338619137062,-0.04823085554929161,0.034822526583387796,0.15835965414516148,1.0,0.5104,0.4896,MAPPED
31,time_signature_4.0,time_signature,time_signature,0.08040714777373066,0.0033944536050183,0.04224622848854224,0.07634330496314401,0.08818312851797515,1.0,0.8474,0.1526,MAPPED
32,release_precision_day,release_precision,release_precision,0.0790484075521874,0.003337093273617418,0.020211039121991854,0.0487795351524541,0.13362251820929721,1.0,0.89,0.11,MAPPED
33,key_0,key,key,0.07468203528303356,0.003152763291765688,0.00995580135377612,0.04999032036647936,0.11047303118541259,1.0,0.862,0.138,MAPPED
34,key_7,key,key,0.06443142751086697,0.0027200254883582744,0.022223230581954145,0.05141418578018002,0.08377093729114753,1.0,0.856,0.144,MAPPED
35,key_2,key,key,0.06205624311470009,0.0026197551335530025,0.02093775502434804,0.04607185419987321,0.0931571606379275,1.0,0.883,0.117,MAPPED
36,release_precision_year,release_precision,release_precision,0.05723778774299013,0.0024163400932241596,0.04089022855844568,0.048335007310775197,0.05146572641538394,1.0,0.9334,0.0666,MAPPED
37,key_11,key,key,0.03211978860276908,0.001355963185286812,-0.001936814211411566,0.010907717745347184,0.08192565663774994,1.0,0.1466,0.8534,MAPPED
38,time_signature_3.0,time_signature,time_signature,0.02804805266409266,0.0011840715174637401,0.013990226587091814,0.023958867863475092,0.035656743735389816,1.0,0.7746,0.2254,MAPPED
39,key_9,key,key,0.021926415683360456,0.0009256415980698259,0.006435819581357931,0.01481134423712087,0.033119886690444474,1.0,0.8592,0.1408,MAPPED
40,key_3,key,key,0.019440004906271548,0.0008206757304880488,0.009827719518236508,0.0019353366793191495,0.09207052795205707,1.0,0.139,0.861,MAPPED
41,mode_1,mode,mode,0.017036633545344338,0.0007192154398773875,-0.003928000961677509,0.012779320226865287,0.022342857988860168,1.0,0.5662,0.4338,MAPPED
42,key_10,key,key,0.013846530669538566,0.0005845426339518437,0.0005416369767815546,0.005261261145369632,0.030003139890048356,1.0,0.1262,0.8738,MAPPED
43,key_4,key,key,0.011457138210663523,0.00048367247414147764,0.0029047290149532214,0.004165590132662338,0.022373385181817928,1.0,0.3406,0.6594,MAPPED
44,duration_squared,duration_squared,duration_min,0.01061236941643496,0.00044800986754031495,0.005189819040934174,0.00458804745775848,0.020653053730984416,1.0,0.6588,0.3412,MAPPED
45,key_5,key,key,0.00842209195909047,0.0003555455106152917,0.00514365036657066,0.004164779877723674,0.015016775821822842,1.0,0.864,0.136,MAPPED
46,release_precision_month,release_precision,release_precision,0.007465151170368719,0.000315147471386162,-0.007034912955309342,0.006489323317468551,0.005910367946175821,1.0,0.1086,0.8914,MAPPED
47,time_signature_5.0,time_signature,time_signature,0.0004958953454910328,2.0934628199357303e-05,0.00026700331544857593,3.53925258456014e-09,0.002517889592060655,1.0,0.2896,0.7104,MAPPED
48,time_signature_1.0,time_signature,time_signature,0.0002650634182440469,1.1189869315460644e-05,-8.766336948587236e-05,1.4473452588158295e-09,0.0021914623122381836,1.0,0.5972,0.4028,MAPPED
49,explicit_True,explicit,explicit,0.00020195870377109283,8.52585210471273e-06,0.00020195870377108987,5.671409222607811e-10,0.00040458684351861815,1.0,1.0,0.0,MAPPED
